geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
28093,Marshall County,559,7540,2207,17989,18658,380,1019,10369,7739,12683,36823
27059,Isanti County,416,8636,2995,32019,18993,689,2359,11259,3020,16699,38078
20009,Barton County,1849,5063,1890,20440,13985,560,1375,8203,3752,12178,27602
29053,Cooper County,258,4022,1392,13298,8274,611,853,4817,2832,7711,17574
29197,Schuyler County,79,1273,299,2682,2262,11,117,1258,1040,1997,4397
21199,Pulaski County,764,12779,4696,46958,32374,801,2707,18719,14487,28458,63369
22119,Webster Parish,286,9097,3407,31945,21085,395,1760,11063,8705,15030,41039
21063,Elliott County,19,1485,464,6571,3420,29,181,2068,2137,2866,7784
27121,Pope County,72,2513,988,9133,5383,70,776,3794,993,5731,10957
21037,Campbell County,1847,15750,6145,56628,46152,1830,6839,24643,11467,35407,90606
21103,Henry County,235,3758,969,12524,7740,206,630,4327,2586,6870,15425
28123,Scott County,2014,5427,1264,22779,14277,135,824,7334,6894,9616,28255
27117,Pipestone County,226,2019,750,6143,4820,194,387,2853,991,4520,9470
26117,Montcalm County,792,14218,4911,55571,30499,1200,1857,18537,11226,26988,63234
28047,Harrison County,8549,27874,22647,104447,96043,5179,9777,44061,36844,69777,190756
29175,Randolph County,107,5605,2006,19189,12094,385,709,6373,4447,9610,25253
26037,Clinton County,2186,13251,4812,63896,38443,1534,5950,23047,8281,34086,75802
27169,Winona County,1808,8525,2989,32530,26138,600,2805,13580,7087,19661,51328
20141,Osborne County,33,953,320,2997,1941,10,218,1371,642,1925,3846
27027,Clay County,1919,9100,3423,26234,30139,1305,3261,15567,6843,23625,59638
26097,Mackinac County,221,3036,1265,9055,5505,728,362,3842,1674,5349,11099
22111,Union Parish,510,5514,1730,18495,11437,241,838,6846,6189,9483,22576
22089,St. Charles Parish,2024,10599,3015,42458,26782,825,5265,14995,6615,20551,52627
29209,Stone County,317,8406,3752,15282,16221,2187,1264,10468,5365,17042,31817
29123,Madison County,178,2771,1038,9846,6273,157,246,3503,2591,5354,12350
27037,Dakota County,32841,53049,27400,263972,204543,10672,52855,116922,30326,176473,402306
27131,Rice County,4412,11024,4078,44227,31658,1371,4180,16835,6531,25722,64585
29195,Saline County,1323,5432,1839,17442,11709,481,573,5938,4057,8947,23324
21125,Laurel County,693,11603,4121,47246,30195,641,1991,16339,12732,26521,59178
22027,Claiborne Parish,254,3696,1151,13464,7458,227,732,4010,4525,5189,16964
29089,Howard County,131,2212,842,7907,5118,186,440,2832,1725,3924,10184
28033,DeSoto County,5894,26578,11011,47801,84255,5638,12029,43557,15893,68122,163975
28129,Smith County,101,3767,948,14557,8469,93,696,5225,3847,6847,16414
21097,Harrison County,316,3783,1562,14704,9532,236,878,4745,4256,7330,18693
26113,Missaukee County,243,3796,1237,13139,7275,193,495,4760,2227,6769,14940
23021,Piscataquis County,220,4725,2060,12150,8735,366,603,5978,3160,8219,17343
20207,Woodson County,17,762,312,2569,1627,117,119,1229,622,1490,3278
28055,Issaquena County,1e-10,226,85,1201,542,1e-10,16,311,358,406,1383
28035,Forrest County,2086,10413,5360,54889,39724,875,3712,15710,19858,24609,75991
26061,Houghton County,1695,6777,2979,27956,16688,520,1527,9767,7853,13449,36494
28163,Yazoo County,1201,5003,1658,22156,12657,458,625,5229,8742,7921,28122
25007,Dukes County,1305,2616,966,10067,8446,196,1816,4618,1673,6927,16739
27079,Le Sueur County,596,6225,2025,23315,13726,349,1951,8994,2419,13238,27758
20171,Scott County,662,859,314,3102,2629,73,360,1554,546,2743,4930
29219,Warren County,689,6707,2884,24905,16366,723,1778,9981,4324,15273,32667
29021,Buchanan County,3054,18246,7082,63960,44771,3209,3498,21581,14514,32900,89419
20175,Seward County,7365,2756,774,9369,11268,553,905,4749,4385,8883,23146
27113,Pennington County,294,2858,1072,10395,7047,317,693,4376,1494,5788,14008
29105,Laclede County,424,8504,3365,23296,18215,751,1234,9733,6901,15643,35535
20025,Clark County,85,365,179,1473,1118,79,118,675,271,1063,2188
21085,Grayson County,111,5792,1881,21934,13029,331,737,7158,5884,11612,25833
20039,Decatur County,30,750,300,1757,1463,21,207,1215,284,1608,2933
21129,Lee County,64,1667,397,5950,3529,96,108,2167,2488,2948,7554
21161,Mason County,97,3707,1165,13467,8992,341,813,4675,3290,7246,17452
21059,Daviess County,1840,21362,7461,75411,50148,1713,4990,26443,14340,41213,97230
26095,Luce County,133,1576,597,5513,2766,164,162,1823,1025,2551,6550
26001,Alcona County,184,3044,1702,9043,5342,148,448,4367,1612,5687,10785
21005,Anderson County,309,4296,1504,17659,11124,206,892,6198,2418,9543,21575
20071,Greeley County,38,245,88,842,608,30,97,396,64,672,1202
27147,Steele County,1445,7729,2630,26873,18575,735,2403,11006,3716,16586,36512
29101,Johnson County,1401,8436,6242,29671,26277,1771,2421,12343,8654,22611,53517
25015,Hampshire County,12941,21885,10038,99201,84912,3058,15299,39386,17701,56434,159267
27069,Kittson County,119,997,367,3075,2282,52,347,1579,429,2093,4528
26145,Saginaw County,4543,39830,15153,168803,102562,5672,10443,56299,37246,74572,198841
21237,Wolfe County,12,1630,419,6174,3711,21,152,1998,2902,2834,7299
27009,Benton County,787,7630,2963,32316,19379,640,2093,10803,5519,15856,38756
29169,Pulaski County,2742,7662,7259,16229,23207,2378,2220,8392,5503,19868,52795
20147,Phillips County,49,1298,390,3842,2817,197,234,1859,543,2608,5573
29001,Adair County,624,4147,1591,16511,13427,328,1200,5808,5291,9079,25573
29015,Benton County,161,5536,2393,12095,9466,343,596,6910,3757,9997,19008
21087,Green County,115,2777,741,9573,5763,190,297,3449,2432,5286,11252
20117,Marshall County,103,2883,831,7431,5085,108,479,3306,1204,4886,10057
21173,Montgomery County,236,5421,1618,20814,13521,285,1131,6642,6593,10298,26762
27161,Waseca County,584,4324,1445,14664,10042,443,1053,5666,1677,8693,19046
29129,Mercer County,53,1166,364,2132,1878,33,123,1223,747,1802,3749
29217,Vernon County,326,5269,1561,13452,10865,331,728,5578,4218,8398,20990
22127,Winn Parish,78,3100,940,12809,7190,135,604,3940,2999,5804,15129
28121,Rankin County,3411,21414,9765,106399,74402,1449,11647,40166,15966,60858,143665
27115,Pine County,506,7625,3023,22735,13697,702,1089,9325,4087,12843,29449
20015,Butler County,1146,9612,5508,46103,32780,1869,5595,18458,5374,29248,65786
29189,St. Louis County,66332,132535,70308,677666,526502,22950,118605,286442,106724,398540,999725
24005,Baltimore County,89004,132494,58028,526742,428069,18669,99861,208904,70456,314658,812261
20035,Cowley County,1372,5318,2923,24339,18188,970,1755,9544,6025,14942,36232
27087,Mahnomen County,22,985,420,4524,2704,442,183,1492,1412,1973,5475
28053,Humphreys County,77,1305,499,8405,4866,116,168,1687,4079,2017,9258
29203,Shannon County,44,2023,710,6089,4165,40,257,2516,2092,3997,8388
22095,St. John the Baptist Parish,1565,9625,2525,37881,23079,375,2423,11992,7126,16407,45139
28025,Clay County,75,3470,1220,17665,10900,116,897,5526,5359,7255,20539
21123,Larue County,162,3481,1170,11758,7168,351,483,3984,2351,6120,14149
20073,Greenwood County,19,1723,585,5304,3323,187,229,2178,1042,3115,6582
28075,Lauderdale County,1463,12544,6565,61181,41592,1329,4007,19703,18367,27518,80337
21211,Shelby County,2742,7058,3476,29343,22242,833,3547,10952,5118,19222,42911
28133,Sunflower County,197,3675,1321,25103,13562,94,480,4920,8811,6602,28722
21157,Marshall County,344,7794,2837,20821,15945,331,1597,9842,3554,15042,31296
27001,Aitkin County,145,4560,2092,12920,7853,301,720,6330,1914,8416,16032
20061,Geary County,2585,4456,4795,10954,17426,3220,1450,5844,4213,15577,35583
29115,Linn County,191,3919,902,9704,6563,305,480,3722,1871,5218,12592
21177,Muhlenberg County,223,7292,2082,26094,15540,434,1236,9392,6096,14287,31427
